;20;50;100;500;1000;5000;10000
RLS-N (2);252;1382;6378;34091;36030;38409;39365
RLS-R (3);4012;33662;35519;40678;39966;38438;35784
RLS-R (4);18663;39434;39068;41588;39252;39578;38932
(1+1) EA (2/n);31595;39959;38253;40912;41287;38213;38151
(1+1) EA (3/n);32990;41302;39362;40242;39432;41066;40864
(1+1) EA (4/n);33453;41598;38060;41584;39748;39617;41490
pmut(-2.5);38488;41365;39010;42765;44430;38055;37215

;20;50;100;500;1000;5000;10000
RLS-N (2);987;983;884;382;324;291;266
RLS-R (3);975;755;642;465;439;400;422
RLS-R (4);905;637;548;482;438;408;415
(1+1) EA (2/n);858;730;659;496;483;496;468
(1+1) EA (3/n);762;575;535;451;433;405;411
(1+1) EA (4/n);664;523;496;428;408;424;419
pmut(-2.5);854;772;668;548;517;488;462

;20;50;100;500;1000;5000;10000
RLS-N (2);98703;98323;89139;59268;56756;56332;55494
RLS-R (3);97600;83747;76916;68263;66320;63062;62883
RLS-R (4);92273;78014;72458;69742;65859;64230;64275
(1+1) EA (2/n);90286;83789;78944;70220;69645;68859;67096
(1+1) EA (3/n);84051;75053;71803;67193;65658;64934;65169
(1+1) EA (4/n);77640;72142;68782;66586;64330;65219;66005
pmut(-2.5);91019;86631;79751;74129;73159;68284;66221

