0;83029;195081;195557;280057;460227;fail
1;84541;225193;268010;289683;373009;869087
2;104404;308179;278735;336233;405816;901309
3;78254;228759;277990;315728;454378;768076
4;96440;214582;237735;263785;480914;910697
5;81431;239611;330009;269856;526153;fail
6;89337;282138;218391;302053;490760;853547
7;101244;198084;226782;243251;396728;897812
8;113512;255411;284914;261116;439316;704069
9;106501;239471;363347;261754;419733;781642
10;91683;308018;204666;273354;718519;fail
11;104238;211839;243446;335990;492867;670290
12;105936;247309;236445;276663;485116;815153
13;91994;240608;260000;286700;446915;fail
14;84104;199873;210708;255645;384180;798057
15;71294;194715;223712;276989;574348;fail
16;87018;260998;221241;275732;506803;fail
17;75802;200504;182564;246593;381361;fail
18;70964;207704;288349;302141;642111;830092
19;85857;187395;209492;265863;527765;fail
20;91539;314361;259361;407993;440076;782862
21;97372;230578;311117;293712;566084;fail
22;82838;188014;213506;304564;419060;872697
23;88309;237910;197047;259612;488586;fail
24;92654;292522;287230;250801;444455;871204
25;84093;276397;214947;259323;533377;876695
26;126835;201096;254734;253750;461666;fail
27;77931;257981;230659;347559;423673;fail
28;81916;226581;207486;278052;497259;fail
29;83416;213033;179949;268498;425492;879432
30;77469;289168;265549;241659;454078;fail
31;78120;194100;259259;288844;569557;857753
32;99069;274141;285883;238217;645838;fail
33;119689;236661;191695;380302;485766;808372
34;108044;198544;216984;306894;519298;fail
35;85257;182585;238325;247003;400031;fail
36;96728;224397;252803;297370;584540;fail
37;76388;205176;251216;239450;694860;848250
38;90473;218302;224254;337738;488163;707017
39;86640;236740;240418;262835;429564;854761
40;114111;223800;252975;342970;504678;fail
41;79924;212508;265392;291455;462772;fail
42;95173;221472;253392;285573;568785;884784
43;94779;262974;288215;282089;562207;fail
44;102327;219549;227450;263369;476435;fail
45;102064;187752;271082;273203;509657;fail
46;88354;269923;206441;417382;411118;fail
47;91036;296101;266048;263928;515873;fail
48;81162;250774;355212;293922;477376;fail
49;82614;223130;215654;301932;508936;774307
50;118340;246648;229645;255328;659999;844698
51;97735;198232;277719;358537;447016;785874
52;93295;251855;201333;343957;557220;fail
53;95823;225644;243952;256479;516700;869429
54;83794;231080;216446;331521;455555;913510
55;74339;199204;207637;234694;521852;893684
56;79541;268738;264661;281582;615825;fail
57;100496;184075;236965;245175;626852;fail
58;76782;255378;218831;260688;504858;619440
59;88741;191484;225706;255861;444149;fail
60;96248;223760;245636;310888;485296;674128
61;109734;224870;220386;248919;366938;901567
62;92192;196036;279273;296926;426865;890529
63;105705;176590;208636;276618;497545;fail
64;83143;200950;249514;357577;486950;832934
65;87867;174249;231671;278268;429154;805139
66;93568;294433;197976;236693;403460;fail
67;76561;199159;204064;310137;652315;fail
68;94777;228621;235589;282958;378888;fail
69;87013;303977;273566;299736;539788;775757
70;90668;262900;251068;276049;505942;746958
71;92164;240932;293222;236556;441603;782287
72;81949;229538;229989;294747;444594;890859
73;96428;226952;239103;239115;443727;775301
74;120196;250472;226971;311383;445604;fail
75;85165;204385;288019;249760;398262;fail
76;85140;199547;240978;278044;405851;fail
77;75708;262351;289188;300776;478859;fail
78;70625;202093;224358;214319;556661;fail
79;99508;192419;309833;256050;559449;846872
80;82614;236327;291444;301994;525000;fail
81;96431;220434;188759;318217;438860;fail
82;113863;228282;215088;302323;637602;722136
83;82032;261535;239700;266305;379672;fail
84;95703;253070;225289;295446;459752;832932
85;75296;202420;204108;259958;440975;710673
86;100631;196876;218254;320379;570391;716993
87;85444;232008;220221;322092;399702;fail
88;83489;198412;220927;315726;393555;752328
89;94998;233903;237452;246560;468092;713846
90;101633;242335;232477;293140;522230;846468
91;83605;205062;261433;356657;621376;905918
92;97874;186591;231218;299185;464778;904466
93;85089;211895;342426;311271;397085;915616
94;86505;234265;182701;260214;422323;fail
95;88920;265501;299309;272874;418159;fail
96;98448;248877;228995;404492;520052;fail
97;75478;241325;355507;231178;610784;842551
98;92907;262559;275642;332901;399265;897271
99;87198;257025;276051;194626;425524;880847

