;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;1487;182;959;905;602;690;307;151;512
1;3778;1037;1572;914;352;413;583;640;462
2;1730;364;1053;545;441;537;1458;392;513
3;2689;1255;944;335;658;219;1569;667;751
4;3389;2046;685;1440;379;557;315;287;597
5;1591;2119;1349;724;307;458;616;1476;662
6;2949;2533;1588;1017;1630;259;206;1264;118
7;1555;710;964;664;355;425;796;605;474
8;970;186;1563;495;679;646;639;239;437
9;3476;458;412;860;902;295;82;537;517
10;1486;711;1086;289;351;446;809;1114;290
11;209;1048;1952;557;127;1476;586;973;1583
12;6223;3049;893;828;772;286;512;386;495
13;2618;1709;629;257;1828;897;701;78;816
